epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,579.56,0.80005,0.43731,1.02699,0.98306,0.96198,0.98498,0.81148,0.72521,0.37884,0.98163,0.000614,0.000614,0.000614
72,588.28,0.80659,0.43809,1.03507,0.98096,0.9612,0.98467,0.81433,0.72523,0.3811,0.98452,0.0005942,0.0005942,0.0005942
73,596.253,0.8059,0.43672,1.03281,0.98482,0.95778,0.98464,0.81334,0.71512,0.37318,0.97832,0.0005744,0.0005744,0.0005744
74,604.219,0.79408,0.43237,1.02298,0.97845,0.9658,0.98508,0.80896,0.74278,0.38198,0.98894,0.0005546,0.0005546,0.0005546
75,612.603,0.79216,0.43156,1.02513,0.98381,0.96477,0.98583,0.8151,0.72797,0.37785,0.984,0.0005348,0.0005348,0.0005348
76,621.032,0.78928,0.43133,1.02637,0.98567,0.96242,0.98514,0.82024,0.70559,0.37157,0.97418,0.000515,0.000515,0.000515
77,629.316,0.78908,0.43155,1.02793,0.98383,0.96137,0.98472,0.81916,0.71001,0.37089,0.97999,0.0004952,0.0004952,0.0004952
78,637.21,0.78276,0.42617,1.01921,0.97905,0.96399,0.98561,0.81997,0.71039,0.37178,0.97947,0.0004754,0.0004754,0.0004754
79,645.396,0.78803,0.42815,1.02191,0.98179,0.96401,0.98505,0.82317,0.70757,0.37085,0.97737,0.0004556,0.0004556,0.0004556
80,653.459,0.77963,0.42529,1.01875,0.97971,0.96658,0.98524,0.82525,0.70299,0.36825,0.97454,0.0004358,0.0004358,0.0004358
81,661.487,0.77362,0.4235,1.01557,0.97854,0.96554,0.98489,0.8198,0.7057,0.36979,0.97739,0.000416,0.000416,0.000416
82,669.826,0.77291,0.4223,1.01345,0.98156,0.9655,0.98569,0.82311,0.70419,0.36762,0.97458,0.0003962,0.0003962,0.0003962
83,677.841,0.77918,0.42479,1.02009,0.98337,0.96497,0.98625,0.8255,0.6962,0.36212,0.9728,0.0003764,0.0003764,0.0003764
84,685.897,0.76558,0.41951,1.01634,0.98466,0.96438,0.98583,0.82446,0.69944,0.3634,0.97432,0.0003566,0.0003566,0.0003566
85,694.656,0.76241,0.41789,1.01329,0.98338,0.96595,0.98597,0.827,0.68762,0.36051,0.96902,0.0003368,0.0003368,0.0003368
86,703.722,0.76682,0.41843,1.01488,0.98623,0.9646,0.98604,0.82664,0.69204,0.35913,0.97053,0.000317,0.000317,0.000317
87,711.979,0.76524,0.41875,1.01419,0.98492,0.96473,0.98526,0.8283,0.68303,0.35863,0.96693,0.0002972,0.0002972,0.0002972
88,720.337,0.75844,0.41642,1.01008,0.98441,0.96295,0.9852,0.82708,0.682,0.35677,0.96804,0.0002774,0.0002774,0.0002774
89,728.558,0.75644,0.41535,1.0102,0.98485,0.96269,0.98569,0.82715,0.68628,0.35906,0.96607,0.0002576,0.0002576,0.0002576
90,736.811,0.75916,0.41614,1.01384,0.98155,0.965,0.98585,0.82863,0.68547,0.35712,0.96823,0.0002378,0.0002378,0.0002378
91,745.647,0.72853,0.39509,0.99137,0.98053,0.96568,0.9846,0.80888,0.72518,0.37581,0.98043,0.000218,0.000218,0.000218
92,753.288,0.68587,0.37664,0.97837,0.9783,0.96736,0.98471,0.81972,0.69218,0.36069,0.96831,0.0001982,0.0001982,0.0001982
93,760.707,0.6786,0.37231,0.97473,0.98257,0.96375,0.98518,0.82149,0.68686,0.3617,0.96685,0.0001784,0.0001784,0.0001784
94,768.079,0.66997,0.36743,0.97281,0.9808,0.96627,0.98551,0.82774,0.68055,0.35706,0.96489,0.0001586,0.0001586,0.0001586
95,775.706,0.66732,0.36636,0.97247,0.9798,0.96778,0.98577,0.82521,0.6842,0.35814,0.96795,0.0001388,0.0001388,0.0001388
96,783.432,0.65979,0.36401,0.96798,0.98027,0.9656,0.98558,0.82618,0.67865,0.35669,0.96415,0.000119,0.000119,0.000119
97,791.014,0.65518,0.36251,0.96847,0.9836,0.96355,0.9854,0.82655,0.67322,0.35581,0.96199,9.92e-05,9.92e-05,9.92e-05
98,798.565,0.65241,0.3616,0.96749,0.98325,0.96451,0.98519,0.82817,0.67195,0.35367,0.96261,7.94e-05,7.94e-05,7.94e-05
99,805.835,0.64793,0.35882,0.9684,0.98437,0.96285,0.98569,0.83033,0.66686,0.35206,0.96003,5.96e-05,5.96e-05,5.96e-05
100,812.213,0.64692,0.35906,0.96779,0.98515,0.96245,0.98539,0.82955,0.66766,0.35178,0.9617,3.98e-05,3.98e-05,3.98e-05
